교수명,공식 연구실명,핵심 연구 분야,검색 intent,직접 검색어 예시,공식 근거
박준혁,웨어러블 및 보조로봇 연구실(WEAR Lab),웨어러블 디바이스 | 외골격·엑소수트 | 보조로봇 | 재활공학,wearable-robot | assistive-robot | rehabilitation-robot | exoskeleton,웨어러블 로봇 | wearable robot | 착용형 로봇 | 입는 로봇 | 외골격 | exoskeleton | 엑소수트 | exosuit,DGIST 공식 교수 목록·대학원 연구실 안내
송석호,생체융합 로보틱스 연구실(BRL),생체모사 로보틱스 | 소프트 로보틱스 | 소프트 바이오전자 | Physical AI,bioinspired-robot | soft-robot | bioelectronics | physical-ai | embodied-ai,생체모사 로봇 | bioinspired robotics | 소프트 로봇 | soft robotics | 소프트 바이오전자 | soft bioelectronics | Physical AI | 피지컬 AI,DGIST 공식 교수 목록·대학원 연구실 안내
송철,지능 로봇 광메카트로닉스 연구실,정밀 로봇 | 인간-로봇 상호작용 | 로봇 메카트로닉스 | 광메카트로닉스 | 수술로봇,robot | precision-robot | hri | optomechatronics | surgical-robot | medical-imaging | ai,정밀 로봇 | precision robot | 인간 로봇 상호작용 | human-robot interaction | 로봇 메카트로닉스 | robot mechatronics | 광메카트로닉스 | optomechatronics,DGIST 공식 교수 목록·대학원 연구실 안내
오세훈,모션컨트롤 연구실,학습 기반 제어 | 매니퓰레이터 제어 | 전기차 주행 제어 | 4족로봇 | 액추에이터,robot-control | manipulation | vehicle-control | quadruped | actuator | wearable-robot,학습 기반 제어 | learning-based control | 로봇 제어 | robot control | 모션 제어 | motion control | 매니퓰레이터 제어 | manipulator control,DGIST 공식 교수 목록·대학원 연구실 안내
유재석,의생명 초음파 연구실,의생명 초음파 | 광음향 영상·치료 | 의료영상·신호처리 | 머신러닝 진단 | 나노 진단·치료,medical-imaging | ultrasound | photoacoustic | image-processing | ai | medical-therapy,의생명 초음파 | biomedical ultrasound | 초음파 영상 | ultrasound imaging | 초음파 치료 | ultrasound therapy | 광음향 영상 | photoacoustic imaging,DGIST 공식 교수 목록·대학원 연구실 안내
이상훈,신경로봇 연구실,신경 인터페이스 | 신경보철 | 삽입형 신경전자소자 | 신경조절 치료 | 신경로봇,neural-interface | neuroprosthetics | implantable-bioelectronics | neuromodulation | neuro-robot,신경 인터페이스 | neural interface | 신경보철 | neuroprosthetics | 삽입형 신경전자소자 | implantable neural electronics | 신경조절 | neuromodulation,DGIST 공식 교수 목록·대학원 연구실 안내
이성민,지능형 메카트로닉스 및 제어 연구실,다자유도 모션플랫폼 | 무인비행체·UAV | 제어이론 | 시지연 시스템 | 비행로봇,drone | uav | aerial-robot | robot-control | motion-platform | humanoid | actuator,드론 | UAV | 무인항공기 | 무인비행체 | unmanned aerial vehicle | 비행 로봇 | aerial robot | 완전 구동형 UAV,DGIST 공식 교수 목록·대학원 연구실 안내
이아형,신경-기계 인터페이스 연구실,신경공학 | 생체회로·시스템 | 뇌-기계 인터페이스 | 무선 신경센서,neural-interface | bmi | biomedical-circuit | neural-signal,신경공학 | neural engineering | 생체회로 | biomedical circuit | 생체 시스템 | biomedical system | 뇌 기계 인터페이스 | brain-machine interface,DGIST 공식 교수 목록·대학원 연구실 안내
이옥균,차세대 의료영상 연구실,포톤카운팅 CT | 산란광 단층촬영 | 근적외선 뇌영상 | 영상복원,medical-imaging | ct | optical-imaging | brain-imaging | image-reconstruction,포톤카운팅 CT | photon counting CT | 컴퓨터단층촬영 | computed tomography | CT | 산란광 단층촬영 | diffuse optical tomography | 근적외선 뇌 영상,DGIST 공식 교수 목록·대학원 연구실 안내
이용석,로봇 지능 및 인터페이스 연구실(ROBIN Lab),Robot AI | 휴머노이드 조작 | 휴머노이드 원격조작 | 디지털 트윈 인터랙션,robot | ai | humanoid | manipulation | teleoperation | digital-twin | hri,Robot AI | 로봇 인공지능 | 휴머노이드 조작 | humanoid manipulation | 휴머노이드 원격조작 | humanoid teleoperation | 원격 조작 | teleoperation,DGIST 공식 교수 목록·대학원 연구실 안내
이재홍,소프트 바이오일렉트로닉스 연구실,웨어러블 센서 | MEMS/NEMS | 웨어러블 로봇 | 소프트 바이오전자 | 섬유 전자,wearable-sensor | wearable-robot | mems | nems | bioelectronics | electronic-textile,웨어러블 센서 | wearable sensor | 웨어러블 로봇 | wearable robot | MEMS | NEMS | 소프트 바이오전자 | soft bioelectronics,DGIST 공식 교수 목록·대학원 연구실 안내
임용섭,자율시스템제어 연구실,자율주행 | 자율비행 | 로봇공학 | 지능제어 | AI 인지,autonomous-driving | autonomous-flight | drone | robot-control | robot-vision | ai,자율주행 | autonomous driving | 자율비행 | autonomous flight | 자율 시스템 | autonomous system | 지능 제어 | intelligent control,DGIST 공식 교수 목록·대학원 연구실 안내
장경인,퍼스널라이즈드 피지컬 AI 연구실,전자피부·전자의복 | 삽입형 전자약 | 웨어러블 센서 | MEMS/NEMS | Physical AI,wearable-sensor | electronic-skin | electronic-textile | implantable-bioelectronics | mems | nems | physical-ai,전자 피부 | electronic skin | e-skin | 전자의복 | electronic textile | 웨어러블 센서 | wearable sensor | 삽입형 전자약,DGIST 공식 교수 목록·대학원 연구실 안내
정소현,유체 및 소프트로봇 연구실,유체 로보틱스 | 소프트 로보틱스 | 마이크로로봇 | 로봇 메커니즘,soft-robot | fluid-robot | micro-robot | robot-mechanism,유체 로봇 | fluid robotics | 소프트 로봇 | soft robotics | 유체 구동 로봇 | fluid-powered robot | 마이크로 로봇 | micro robot,DGIST 공식 교수 목록·대학원 연구실 안내
한상윤,지능형 나노광학 연구실,실리콘 포토닉스 | 광집적회로 | LiDAR | 광 인공신경망 | 광 AI 가속기 | 나노광학 | MEMS,photonics | lidar | optical-ai | mems | semiconductor-photonics,실리콘 포토닉스 | silicon photonics | 광집적회로 | photonic integrated circuit | LiDAR | 라이다 | 광 인공신경망 | optical neural network,DGIST 공식 교수 목록·대학원 연구실 안내
황민호,수술 로봇 및 정밀 조작 연구실,로봇 파지·조작 | AI 기반 수술 | 수술로봇 시스템 | 로봇 학습·제어,surgical-robot | medical-robot | manipulation | robot-control | ai | teleoperation,수술 로봇 | surgical robot | AI 기반 수술 | AI-assisted surgery | 로봇 파지 | robot grasping | 정밀 조작 | precision manipulation,DGIST 공식 교수 목록·대학원 연구실 안내
